,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2.26,1.76,1.769,3.1021,2.4299,2.109,2.41,1.94,2.429,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701
1,1.76,1.769,3.1021,2.4299,2.109,2.41,1.94,2.429,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809
2,1.769,3.1021,2.4299,2.109,2.41,1.94,2.429,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701
3,3.1021,2.4299,2.109,2.41,1.94,2.429,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601
4,2.4299,2.109,2.41,1.94,2.429,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499
5,2.109,2.41,1.94,2.429,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08
6,2.41,1.94,2.429,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24
7,1.94,2.429,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601
8,2.429,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599
9,1.102,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76
10,0.34,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76
11,0.349,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419
12,0.59,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92
13,0.44,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26
14,0.759,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932
15,0.26,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25
16,0.942,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929
17,0.509,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75
18,0.51,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26
19,0.26,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42
20,1.439,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6
21,2.1,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08
22,3.2499,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42
23,3.0701,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76
24,3.5809,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191
25,3.0701,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499
26,3.0601,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932
27,1.7499,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932,1.949
28,3.08,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932,1.949,2.0799
29,2.24,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932,1.949,2.0799,2.9301
30,2.2601,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932,1.949,2.0799,2.9301,2.11
31,2.2599,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932,1.949,2.0799,2.9301,2.11,1.939
32,0.76,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932,1.949,2.0799,2.9301,2.11,1.939,3.41
33,0.76,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932,1.949,2.0799,2.9301,2.11,1.939,3.41,0.91
34,0.419,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932,1.949,2.0799,2.9301,2.11,1.939,3.41,0.91,0.42
35,0.92,0.26,0.932,0.25,0.929,0.75,1.26,0.42,0.6,1.08,1.42,1.76,2.4191,3.7499,1.932,1.949,2.0799,2.9301,2.11,1.939,3.41,0.91,0.42,0.592
36,0.589,0.59,0.25,0.92,0.5,0.51,0.25,0.75,0.42,0.59,1.09,1.089,0.59,0.42,0.75,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59
37,0.59,0.25,0.92,0.5,0.51,0.25,0.75,0.42,0.59,1.09,1.089,0.59,0.42,0.75,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5
38,0.25,0.92,0.5,0.51,0.25,0.75,0.42,0.59,1.09,1.089,0.59,0.42,0.75,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5
39,0.92,0.5,0.51,0.25,0.75,0.42,0.59,1.09,1.089,0.59,0.42,0.75,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26
40,0.5,0.51,0.25,0.75,0.42,0.59,1.09,1.089,0.59,0.42,0.75,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26,0.75
41,0.51,0.25,0.75,0.42,0.59,1.09,1.089,0.59,0.42,0.75,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26,0.75,0.42
